formula,Density Score,Peak Score
SrLi4N2,1.935,1.228
Ca3Au,1.724,-0.751
LiLuPt2,1.719,2.664
Sr6Sn2NO,1.558,0.527
LiErGe,1.554,0.001
Li7Sn2,1.528,-0.168
Rb3Mg,1.524,-0.481
Li3Au,1.495,-0.591
Ca3BiSb,1.414,-0.001
Sr3MnN3,1.114,1.131
TmHfRu2,0.978,1.684
Yb2SbAu,0.934,0.059
LiB,0.931,0.339
Er2ZnRu,0.908,0.011
Nd2CdIn,0.900,0.575
Pr2ZnHg,0.865,0.435
MnAlRh2,0.843,2.038
ErB2Rh2C,0.842,1.529
Yb2AgSn,0.834,0.088
LiTmIn2,0.829,0.147
Sm2AgSn,0.813,0.172
CaSmZn2,0.798,0.257
BeGaRh2,0.776,1.818
HoTmMg2,0.770,0.154
TbGaRh2,0.750,2.376
Li4UO5,0.709,0.080
LiTmHg2,0.684,-0.535
NdTmTl2,0.629,-0.171
ScNbOs2,0.604,1.247
LiAlPt2,0.588,2.320
CrPO4,0.581,1.962
Fe2W,0.465,0.421
Ho2Cr2C3,0.398,1.316
MgSiN2,0.392,1.672
Ti2GaC,0.340,0.643
MnSbPd2,0.328,0.443
Ho(SiRu)2,0.314,0.016
SF6,0.312,0.509
U2CrN3,0.269,1.262
Nd(CoSi)2,0.262,0.788
Pr(CoSi)2,0.207,0.635
CeIr2,0.160,-0.540
Al(SnO2)2,0.107,1.155
Ca2MnO4,0.080,0.865
Ga2CoS4,0.060,1.001
ThSiO4,0.047,0.381
Cr2FeS4,0.028,0.766
CrGaP2,0.024,0.167
CeNiC2,0.012,-0.504
Mg(BeN)2,0.005,0.083
Fe3Sn2,-0.005,0.313
Sm2Zr2O7,-0.042,0.722
CaCu2O3,-0.047,0.318
Sc2CoRu,-0.048,-0.600
Ni2Ge,-0.087,-0.245
Cs2CrCl4,-0.089,0.159
CuAs,-0.098,0.443
Cs2RbInF6,-0.099,0.232
RbSbO3,-0.117,0.157
BaTiS3,-0.118,0.124
HfPbO3,-0.122,-0.449
CaPd3O4,-0.132,-0.415
Hf4N3,-0.138,-1.040
Rb2Cr(BrCl)2,-0.179,-0.035
NdBPd3,-0.188,-1.361
Ho2CF2,-0.215,-0.433
P3N5,-0.229,-0.181
ErCdCu4,-0.232,-0.069
TiBiRh,-0.243,-1.686
P2Pb2O7,-0.244,-0.112
BaTe2,-0.255,-0.438
SmMn2O5,-0.257,-0.591
YNiSb,-0.260,-0.384
DyCuSeO,-0.271,-0.179
V2C,-0.275,-1.130
K2SnCl6,-0.300,-0.293
TbNi2,-0.303,-0.290
ZnCo3C,-0.316,-1.268
Na2Hf2O5,-0.325,-0.240
TaNiGe,-0.329,-2.238
AsPdSe,-0.346,-0.189
ZrH3,-0.348,-0.601
Cs2PbCl6,-0.358,-0.450
LaCu2,-0.386,-0.542
YMg2,-0.388,0.176
MgS,-0.403,-0.220
LiZnAu2,-0.432,-0.788
Sc3AlC,-0.448,-1.642
Mn3O4,-0.453,-0.392
Sc2CdAg,-0.469,-1.875
Sc,-0.498,-2.352
ZrGeTe,-0.549,-1.068
DyIr3,-0.588,-2.180
Sr(ZnGe)2,-0.599,-1.505
CdCl2,-0.651,-1.339
In2Se3,-0.659,-1.356
Ba(CdAs)2,-0.700,-1.945
HoCd3,-0.794,-1.317
TbCd3,-0.829,-1.463
Cu3P,-0.852,-2.365
